011279062589|2020|02
011279062597|2020|02
011279062605|2020|02
011279062613|2020|02
011279062621|2020|02
011279062639|2020|02
011279062647|2020|02
011279062654|2020|02
011279062662|2020|02
011279062670|2020|02
011279062688|2020|02
011279062696|2020|02
011279062704|2020|02
011279062712|2020|02
011279062720|2020|02
011279062738|2020|02
011279062746|2020|02
011279062753|2020|02
011279062761|2020|02
011279062779|2020|02
011279062787|2020|02
011279062795|2020|02
011279062803|2020|02
011279062811|2020|02
011279062829|2020|02
011279062837|2020|02
011279062845|2020|02
011279062852|2020|02
011279062860|2020|02
011279062878|2020|02
011279062886|2020|02
011279062894|2020|02
011279062902|2020|02
011279062910|2020|02
011279062928|2020|02
011279062936|2020|02
011279062944|2020|02
011279062951|2020|02
011279062969|2020|02
011279062977|2020|02
011279062985|2020|02
011279062993|2020|02
011279063009|2020|02
011279063017|2020|02
011279063025|2020|02
011279063033|2020|02
011279063041|2020|02
011279063058|2020|02
011279063066|2020|02
011279063074|2020|02
011279063082|2020|02
011279063090|2020|02
011279063108|2020|02
011279063116|2020|02
011279063124|2020|02
011279063132|2020|02
011279063140|2020|02
011279063157|2020|02
011279063165|2020|02
011279063173|2020|02
011279063181|2020|02
011279063199|2020|02
011279063207|2020|02
011279063215|2020|02
011279063223|2020|02
011279063231|2020|02
011279063249|2020|02
011279063256|2020|02
011279063264|2020|02
011279063272|2020|02
011279063280|2020|02
011279063298|2020|02
011279063306|2020|02
011279063314|2020|02
011279063322|2020|02
011279063330|2020|02
011279063348|2020|02
011279063355|2020|02
011279063363|2020|02
011279063371|2020|02
011279063389|2020|02
011279063397|2020|02
011279063405|2020|02
011279063413|2020|02
011279063421|2020|02
011279063439|2020|02
011279063447|2020|02
011279063454|2020|02
011279063462|2020|02
